"cluster","x","y"
0,-19.899548,-27.462658
0,49.756245,-35.26938
1,8.528228,-32.68518
0,60.776962,-26.274744
1,39.463345,-63.440536
0,36.930305,75.75286
1,47.5224,-35.13222
0,34.45523,72.99768
0,8.249031,-32.10193
0,69.27456,-3.619197
0,59.901356,-24.259724
1,-1.2043843,-69.47181
1,17.08609,-57.518642
1,-4.776563,-68.53934
1,16.848898,-71.030205
1,-2.5732694,-51.045815
1,-0.33561423,-51.08825
1,12.830655,-58.384712
1,44.08813,-35.369205
1,-5.325343,-85.73342
0,65.450134,6.244606
0,37.4656,68.30507
1,7.920154,-84.68427
0,53.17677,-16.676838
1,17.64538,-41.06014
1,-14.025433,-50.35101
0,26.904495,51.6717
1,12.904175,-74.697
0,38.17251,68.98857
1,47.021,-33.794727
1,-24.265316,-66.055695
1,-4.488555,-45.592342
1,-23.04497,-73.28117
1,18.54295,-77.16894
1,-18.67522,-76.7665
1,-23.564623,-76.48543
1,53.162792,-47.590725
1,8.154644,-59.43596
1,26.576508,-62.56359
1,28.166954,-23.439924
1,31.788025,-67.17745
1,14.3849325,-79.41545
0,37.625114,-21.902033
1,-6.2617245,-41.207546
1,22.764841,-63.295227
1,-9.048708,-80.949394
1,20.811033,-67.41156
1,13.945918,-47.950836
1,-9.669252,-58.345238
0,41.152477,-22.426033
1,-21.837923,-66.66815
1,66.46776,47.521004
1,-14.935651,-81.27113
1,73.578896,14.936922
1,4.0195246,-39.35452
1,29.854546,-23.356339
1,12.1332245,-81.427
1,24.568855,-80.36024
1,46.760124,-31.638876
1,48.034973,-49.56088
1,-8.303903,-67.53363
0,78.63181,6.062292
0,43.05938,-6.1876645
1,-11.364625,-72.00454
1,-12.152495,-49.029465
1,-9.36088,-42.15055
1,-9.209347,-65.36477
1,24.322897,-24.871212
0,72.1718,4.8357105
1,22.202192,-68.20884
1,21.447975,-53.556484
1,24.109972,-73.57939
1,-8.633885,-51.411026
1,0.4971868,-37.7178
1,14.704322,-76.689896
1,22.197973,-60.823997
1,4.4392476,-79.07433
1,-0.07534398,-44.87471
1,2.2437422,-56.59731
1,39.91441,-33.048904
1,-4.2769156,-46.90653
2,82.00848,-20.865759
1,-8.03806,-54.208748
0,71.23536,9.785435
0,42.373173,-21.281353
1,19.383326,-78.01921
2,79.04896,-22.583555
1,-1.4837172,-76.29151
1,31.804365,-24.71626
1,-3.3702269,-67.939606
0,41.091736,-22.775047
1,72.0837,13.987471
1,-1.1296684,-69.429245
1,-24.567461,-77.45529
1,7.7879167,-47.672916
0,41.907207,-24.500519
1,22.93343,-73.099174
1,-11.543499,-80.970955
0,49.95581,29.80215
1,49.237812,-44.505615
0,48.53623,-31.963884
1,41.96736,-34.95506
1,46.139416,-31.85662
1,42.231243,-35.764526
1,37.36241,-24.145914
1,19.74785,-66.456436
1,-14.189438,-50.2598
1,3.5300083,-55.259285
1,14.247181,-62.37243
1,3.0291538,-76.86547
1,0.3110104,-37.79694
